鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元/平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan/square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
中和區,房地(土地+建物),新北市中和區中安街40巷1~30號,12.54,住,,,1010518,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860502,89.64999999999999,1,1,2,有,有,13900000,155047,,0.0,0,地政士僅受託買賣案件申請登記，並無代理撰擬不動產買賣契約書，係由不動產經紀業或權利人自行提供成交案件實際資訊，供地政士申報登錄。,RPOPMLOJKHIFFHF87CA
新店區,房地(土地+建物),新北市新店區玫瑰路58巷1~30號,33.32,住,,,1010711,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741014,103.21,3,2,2,有,有,5000000,48445,,0.0,0,,RPROMLMLQHHFFCF28EA
中和區,房地(土地+建物),新北市中和區員山路423巷14弄1~30號,23.11,住,,,1010708,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720226,57.6,2,1,1,有,無,4500000,78125,,0.0,0,,RPQNMLRLQHHFFHF88CA
