鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元/平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan/square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
東區,土地,裕東段91~120地號,53.49,住,,,1010717,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2588900,48399,,0.0,0,,RPVOMLNLQHHFFCD38CA
佳里區,房地(土地+建物),台南市佳里區民安里同安寮91~120號,88.76,,鄉村區,乙種建築用地,1010712,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0821213,159.45,4,2,2,有,無,2650000,16620,,0.0,0,,RPWNMLRLRHHFFDR77CA
永康區,房地(土地+建物),台南市永康區王行里育樂街143巷1~30號,108.72,住,,,1010726,土地0建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0750521,245.27,3,2,2,有,無,5080000,20712,,0.0,0,,RPWOMLNLQHHFFHR77CA
東區,房地(土地+建物),台南市東區崇善東路61~90號,14.4,住,,,1010724,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0830331,96.78,3,2,2,有,有,2300000,23765,,0.0,0,,RPVNMLLJRHHFFCD97CA
