鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元/平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan/square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
蘆竹區,土地,大新段271~300地號,755.0,住,,,1010521,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,61500000,81457,,0.0,0,,RPPNMLTJQHHFFEH68CA
新屋區,土地,東勢段上庄子小段61~90地號,2898.0,其他,特定農業區,丁種建築用地,1010720,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32874000,11344,,0.0,0,,RPVOMLMJIIHFFDH87CA
桃園區,房地(土地+建物)+車位,桃園縣桃園市雙?路181~210號,33.75,住,,,1010713,土地1建物1車位1,六層，七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811110,198.85,4,2,2,有,有,6150000,30928,坡道平面,0.0,0,,SPVOMLKKQHHFFAH28CA
大溪區,房地(土地+建物),長興西街61~90號,91.44,住,,,1010625,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0930224,213.08,4,3,1,有,無,7200000,33790,,0.0,0,,RPPNMLMJQHHFFCH77CA
